iter	CrossEntropy
<<<<<<< HEAD
0	0.5650728768
1	0.4715918854
2	0.4019690549
3	0.3492837614
4	0.3092920368
5	0.2795527236
6	0.2573005015
7	0.2412206366
8	0.2280928001
9	0.218559003
10	0.2109479713
11	0.2051592784
12	0.200765094
13	0.197395043
14	0.1944717329
15	0.1920059271
16	0.1900441985
17	0.1884144543
18	0.1871343174
19	0.1861565647
20	0.1853670248
21	0.1846112303
22	0.1840644575
23	0.1834831594
24	0.1830152663
25	0.1827086652
26	0.1824476245
27	0.1821926808
28	0.1819679494
29	0.1818032095
30	0.1816186062
31	0.1814232246
32	0.1812297038
33	0.1810309304
34	0.1809082604
35	0.1807610897
36	0.180693267
37	0.1806098784
38	0.1804867373
39	0.1803784786
40	0.1802611609
41	0.1802275412
42	0.1801859346
43	0.1800984591
44	0.1800288656
45	0.1799299071
46	0.1798921885
47	0.1798115401
48	0.1797617073
49	0.1796998448
50	0.1796402389
51	0.1795999693
52	0.1795355855
53	0.179507864
54	0.1794699805
55	0.1793725284
56	0.1793252057
57	0.1792794187
58	0.1792485049
59	0.1791572998
60	0.1790727202
61	0.1790483287
62	0.178988618
63	0.1789423775
64	0.1788866331
65	0.1788295141
66	0.1787932042
67	0.1787672114
68	0.1787340129
69	0.178705716
70	0.1786763078
71	0.1786309316
72	0.1786032464
73	0.1785661372
74	0.1785221527
75	0.1784856074
76	0.1784331094
77	0.1783895459
78	0.1783504578
79	0.1783036268
80	0.1782814569
81	0.178243686
82	0.1782053349
83	0.1781675407
84	0.1781410027
85	0.1781103719
86	0.1780804566
87	0.1780424693
88	0.1779837505
89	0.17796043
90	0.1779219735
91	0.1778827755
92	0.1778634357
93	0.1778241101
94	0.1777829562
95	0.1777537583
96	0.1777214364
97	0.1776960462
98	0.1776268984
99	0.1776019141
100	0.1775780407
101	0.1775574914
102	0.1775309997
103	0.1775088938
104	0.1774936989
105	0.1774746249
106	0.1774538326
107	0.1774262777
108	0.1773724908
109	0.1773490206
110	0.1773281563
111	0.1773113122
112	0.1772905227
113	0.1772605882
114	0.1772232528
115	0.1771993952
116	0.1771780265
117	0.1771684597
118	0.1771499342
119	0.1771367532
120	0.1771208134
121	0.1771051471
122	0.1770956468
123	0.1770657934
124	0.1770507626
125	0.1770271596
126	0.1770098131
127	0.1769782846
128	0.1769428546
129	0.176931753
130	0.1769059001
131	0.1768858631
132	0.1768658791
133	0.1768335829
134	0.1768050759
135	0.1767799254
136	0.1767435529
137	0.176708734
138	0.1766714207
139	0.1766455552
140	0.1766293401
141	0.1765985726
142	0.1765721954
143	0.1765597699
144	0.1765328359
145	0.1764949426
146	0.1764735774
147	0.1764475194
148	0.1764130214
149	0.1763835189
150	0.1763558679
151	0.176340282
152	0.1763182311
153	0.1762964454
154	0.1762662407
155	0.1762265635
156	0.1762102373
157	0.176184447
158	0.1761501839
159	0.1761203438
160	0.1761021674
161	0.1760842104
162	0.1760547916
163	0.1760404053
164	0.1760114796
165	0.1759950292
166	0.1759708478
167	0.1759419025
168	0.1759171169
169	0.1758904021
170	0.1758775764
171	0.175850873
172	0.1758424359
173	0.1758199008
174	0.1757930729
175	0.1757623128
176	0.1757352177
177	0.1757112716
178	0.1756965006
179	0.1756765915
180	0.175649075
181	0.1756337529
182	0.1756201014
183	0.1755977923
184	0.1755795934
185	0.1755651515
186	0.1755545163
187	0.1755400795
188	0.1755214936
189	0.1755051403
190	0.1754942963
191	0.1754858697
192	0.1754551158
193	0.1754385489
194	0.175422142
195	0.1754073801
196	0.175383094
197	0.1753706477
198	0.1753472035
199	0.1753282669
200	0.175295832
201	0.175273037
202	0.1752588204
203	0.1752469421
204	0.1752291419
205	0.175210997
206	0.1752000874
207	0.1751817305
208	0.1751670766
209	0.1751521575
210	0.1751375299
211	0.1751070795
212	0.1750897346
213	0.1750605051
214	0.1750441664
215	0.1750182076
216	0.1749958287
217	0.1749898044
218	0.1749681151
219	0.1749361321
220	0.1749222121
221	0.1749156326
222	0.1748976963
223	0.1748812653
224	0.1748656157
225	0.1748420464
226	0.1748149187
227	0.1747932989
228	0.1747762805
229	0.1747678432
230	0.174743518
231	0.174723802
232	0.1747076938
233	0.1746829785
234	0.1746668222
235	0.1746570337
236	0.1746369058
237	0.1746127357
238	0.1745855503
239	0.1745730093
240	0.1745625504
241	0.1745486435
242	0.1745371314
243	0.1745222558
244	0.1745007398
245	0.1744853181
246	0.1744673001
247	0.1744522939
248	0.1744311956
249	0.1744089379
250	0.174394816
251	0.1743833135
252	0.1743647738
253	0.1743531142
254	0.1743322856
255	0.1743223487
256	0.1743113263
257	0.1742901124
258	0.1742632461
259	0.1742517525
260	0.1742303973
261	0.1742137721
262	0.1741946704
263	0.1741810615
264	0.1741611788
265	0.1741443513
266	0.1741314297
267	0.1741167956
268	0.1741074557
269	0.174082287
270	0.174068998
271	0.1740555328
